participant,Neptun,Computer_task,thanks,Challengescenario,Failurescenario,Criticismscenario,IQ1,IQ2,FMS1,FMS2,FMS3,FMS4,CrMS1,CrMS2,CrMS3,CrMS4,ChMS1,ChMS2,ChMS3,ChMS4,Ego1,Ego2,Ego3,Ego4,Ego5,Ego6,Ego7,Ego8,Ego9,Ego10,Ego11,gender,age,father,mother,feedback,Email,thanks2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.1de87059-7c0e-443c-9708-be1707f11bb5.txt,7095,"",6106,28845,42458,24720,10931,11680,9466,4407,8877,7966,7723,3446,9207,4821,3688,3913,7816,7995,3500,5394,7364,5137,7658,5113,7205,6490,4191,15761,4821,2985,3333,5160,2564,4266,23222,13205,4288,2020-02-13-16-14,2020-02-13-16-33,19
s.375c73b7-bfbd-41c5-b8db-ed82e9389ab5.txt,8705,"",3652,43634,30606,39703,16091,5401,15326,26611,6753,10666,9337,5540,4501,20136,6227,5665,9390,4993,12063,21711,7497,6877,6800,13566,8709,11356,7568,20515,6141,4606,3801,5210,3845,2237,5240,1627,21891,2020-02-18-16-25,2020-02-18-16-47,22
s.2984aa9f-afff-4d37-a3a9-d74916dea91d.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",75236,2020-02-24-12-40,"",""
s.ecb9d680-a5ef-45bb-a5d2-dd3e7d5f2c1c.txt,6875,"",4754,42506,38069,41978,7829,4416,5006,18635,4168,5320,3968,4732,2986,7962,9046,5644,21445,8637,6643,3101,14123,2288,4367,6819,4204,11876,3989,15148,6268,3780,5224,3057,1730,4530,13606,8853,117773,2020-02-12-17-42,2020-02-12-18-03,21
s.19ecc6e7-c4fd-4a28-bbfe-631e83a5fa57.txt,7731,"",4071,43317,21755,18866,4587,6381,8340,3645,7542,5324,5868,3427,3526,4798,10785,5028,11086,3418,3365,4405,6728,3354,3481,3442,10981,5141,4408,5387,9864,2497,3291,5455,1429,4579,14068,1616,93755,2020-02-13-08-38,2020-02-13-08-56,18
s.268e47b1-6a91-4056-ad03-ea72eac5534d.txt,6600,"",7866,48100,19012,41104,9489,5500,5723,4502,6354,8495,4701,5075,5327,8769,4367,3238,4457,5866,4142,6158,6458,5202,2920,5836,4536,4546,3771,4631,6308,2690,4261,3461,7835,3377,21871,8251,59198,2020-02-18-16-25,2020-02-18-16-43,18
s.8b0b0ca2-9f1c-4480-8365-403746845714.txt,25708,"",4065,17238,20409,16505,9010,7313,3474,6791,7825,3502,3854,2954,2382,2945,3259,3515,5006,4748,4896,4106,4628,5391,4062,2957,5162,3570,4192,5655,4186,2971,4887,11015,2503,3360,25424,7435,35291,2020-02-18-16-24,2020-02-18-16-40,16
s.466758d0-47e2-4edf-8f7f-e2e45700829d.txt,18327,"",4751,26790,23919,17836,6154,6159,8805,4313,3458,3937,4059,4182,3415,4615,3392,4849,3736,4291,3951,5615,4536,3203,4050,4634,4589,8050,5024,5919,3787,2865,3576,4144,3202,13445,29987,9917,48918,2020-02-18-16-24,2020-02-18-16-42,18
s.0af09e98-c543-4e11-9b76-6cae67a51d64.txt,17969,"",3384,20482,18761,37420,5473,7344,7572,3480,6035,11256,9476,8715,4523,3592,5015,10724,4991,4483,3766,3742,3788,6084,3795,7745,5834,3874,2557,4233,4737,2743,2891,4483,1976,3670,20641,10788,52186,2020-02-24-12-40,2020-02-24-12-57,17
s.3ca41974-5ad5-4dde-8396-15dd827519bf.txt,7086,"",3833,27437,16698,20538,11394,7907,4532,3277,6775,7054,3208,3813,2196,3351,8993,9272,4947,7533,13685,4708,7041,3362,3513,4729,5459,3889,2701,5752,11041,2564,2743,6349,1970,49711,15352,6441,125887,2020-02-13-08-35,2020-02-13-08-53,18
s.0b2d841e-70a4-4e5b-a17d-1eebde9a1ab5.txt,15773,"",3495,49644,20656,44923,5914,11978,8142,10099,4419,17440,8332,6435,5563,14592,6686,7103,17640,9241,5770,4627,3052,6175,4535,9384,5778,5036,4099,4808,4093,2541,3915,13296,1839,6268,16203,21979,83380,2020-02-18-16-25,2020-02-18-16-44,19
s.09636cd7-fd06-4339-8fdc-16fe06306af6.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8980,2020-02-07-16-37,"",""
s.d4537a8f-7f6b-4072-a79d-6ff838e38b6d.txt,10249,"",5470,41585,17390,31997,7403,10214,7160,7820,7480,5739,8692,10517,13728,5975,6759,5118,4733,5523,4671,6597,15181,4873,5869,6880,14696,6310,8686,9055,10626,7356,5855,4621,5307,4233,7715,2184,112405,2020-02-13-08-36,2020-02-13-08-55,19
s.96938384-b752-454e-b2de-b28ed62cf93e.txt,12510,"",6392,30690,15035,26401,8475,6792,7125,4048,2883,6712,4626,6855,6486,2861,3373,3268,2542,2119,4314,3503,6098,2737,2842,2894,2921,5034,2747,43086,2748,1885,4488,2689,1327,1842,17883,3841,38209,2020-02-12-16-20,2020-02-12-16-37,17
s.b7dd06f3-538c-4dd0-9260-e546bb31159a.txt,9896,"",4723,30913,22154,18066,5488,6454,7137,8340,5032,7665,8335,4800,9221,6006,19407,2734,5615,4171,3086,4684,5687,2775,7090,4662,5539,3949,4514,5582,4038,4186,3462,3768,4388,9035,16863,2341,4786,2020-02-13-16-14,2020-02-13-16-31,17
s.6e33608e-aea5-4ee9-81a5-65c0d977c3c4.txt,24990,"",5050,43497,34755,17686,9351,7517,4084,4363,7301,8777,7495,5074,5221,5622,6411,4069,9112,6202,8167,5741,7425,3306,6120,8686,5370,4199,3014,5540,3967,4600,5313,3835,3500,5103,24937,8262,41411,2020-02-18-16-24,2020-02-18-16-43,19
s.d2c74513-b0ed-4843-86cd-31766dedbf4b.txt,6451,"",4419,33163,4851,16681,2252,2375,1783,2223,2110,1706,1197,3629,2029,1485,2168,1801,1694,2374,2079,1761,1886,3430,2303,2318,2146,2467,1732,4865,1452,"","","","",2285,13608,30315,12535,2020-02-07-16-39,2020-02-07-17-02,23
s.da276d55-401f-4167-b0c7-ffc3ac307f2e.txt,15225,"",5101,23928,22203,32645,7700,4950,8644,7046,11220,10495,5765,3666,9460,8794,3040,7324,4503,6763,3472,5737,6333,4535,6212,3669,4968,5198,8960,8657,4879,2368,6549,5339,3093,3596,23335,8536,64487,2020-02-24-12-40,2020-02-24-12-57,17
s.78748940-01da-4544-aad6-15bf4fa6b4a6.txt,5237,"",4554,50336,35713,81092,8953,8411,7938,6786,4360,4060,3658,5283,2702,5948,2151,4697,3829,5874,8822,4787,11052,5696,3570,3149,6405,5668,3708,5408,6309,2437,2542,3304,3561,6259,22623,1382,97559,2020-02-18-16-25,2020-02-18-16-43,18
s.156f7a6c-e8f2-4af6-87b4-d2a0f52cc235.txt,10778,"",4560,29043,14461,34356,7804,5246,7027,8000,4387,3267,4343,7676,4223,4107,3529,6427,3492,4812,2899,4116,3431,2753,5386,3604,3608,4086,3140,6232,5605,2641,4497,5421,2907,4927,19947,10091,158686,2020-02-13-08-36,2020-02-13-08-54,18
s.23e6f134-f01b-446c-9017-6ccf2ade89d7.txt,7404,"",3246,44271,18854,36011,8232,10413,10458,6875,4714,5297,4352,5071,11198,4183,9891,4036,5730,6885,3529,4929,11199,6705,4561,6557,5130,6934,4764,5521,4903,3298,4866,3759,2782,3108,19764,21108,54613,2020-02-13-08-35,2020-02-13-08-54,19
s.fb54c600-8ead-447b-93b3-c2c6d068ca75.txt,7056,"",4264,24999,41777,16828,11586,7976,6716,5523,7125,9746,9224,6773,8736,4856,10768,6407,17357,6009,9355,5927,5848,4433,4467,4195,4865,5856,8011,4567,5768,2851,4243,8060,3989,3565,22599,8936,130589,2020-02-24-12-41,2020-02-24-13-00,19
s.9ec52d7d-76f5-4ba1-bf21-4ddd273ca95f.txt,8736,"",5031,36483,33852,46664,8771,13537,24412,9769,6938,12666,7234,13326,9299,7339,9034,4598,22265,3728,6854,10023,11136,8625,8892,13372,7154,11515,9043,9349,7572,2622,3616,4795,2146,4646,27399,14370,6669,2020-02-12-17-44,2020-02-12-18-06,22
s.7973a8f2-6fb4-4eeb-8db0-27ed8bba6f9b.txt,15341,"",5137,29516,36584,27935,17091,13334,4709,7999,4773,8501,9863,12029,6396,3880,4843,6327,5521,4391,6354,4572,8854,4423,3557,5338,5709,5407,5703,7215,5089,3068,4311,9297,3272,4374,23178,11357,6055,2020-02-13-16-14,2020-02-13-16-33,19
s.f0e693dd-dbca-468b-a06b-302f5869e6df.txt,12342,"",4938,22318,26358,16051,5920,3485,3598,3351,2457,3237,7889,3209,2607,3692,2487,2749,7201,2882,4548,4421,4889,2419,2439,4983,4697,2844,3128,2656,5290,2810,5660,2833,1950,2655,17938,9505,62035,2020-02-24-12-39,2020-02-24-12-55,16
s.ae568eb0-890a-4a3c-8a2d-53ba2c85ebd4.txt,28306,"",5572,48921,29978,28767,10898,12046,7401,11915,5521,12131,5405,4531,8886,6337,4433,10956,15012,3870,4278,4862,5633,7306,2717,3945,4804,6078,2491,8155,3797,2564,3191,3655,6545,4577,23674,23119,99203,2020-02-24-12-40,2020-02-24-13-00,20
s.4e42ce45-42e9-416d-bcde-3108859a7e7e.txt,30913,"",6257,59241,34477,18112,11045,5479,12943,5101,9320,9276,4542,5099,6501,5500,4153,4079,6121,5749,5117,4838,4019,4173,3731,7405,15120,5096,9474,11944,23660,4540,4209,6752,2352,13500,30643,1488,34978,2020-02-18-16-24,2020-02-18-16-43,19
s.d0cada9e-d1b7-4305-a278-e6e2bd365f43.txt,9692,"",3265,39995,34962,31950,14747,11257,5686,11082,5683,8157,6921,20852,7472,7055,7135,4869,4636,11654,11160,6194,6922,8518,3946,8054,5474,9113,10547,7620,10292,5375,4788,10145,4912,17207,12814,1506,37618,2020-02-12-16-20,2020-02-12-16-41,21
s.14feff9d-4566-4b3b-bfc4-48478b10e26c.txt,19388,"",4660,67232,25242,18644,9288,5187,4223,10072,5381,8413,7454,9791,4722,5529,7409,26761,10066,5684,5159,6411,8674,6450,5561,6633,4604,5511,11315,6007,4683,2703,3765,6543,3592,5562,16498,1140,4544,2020-02-13-16-14,2020-02-13-16-36,22
s.d40f3d5e-864d-4f74-99f5-4f0723c735ae.txt,14459,"",6606,29086,25441,45871,9124,7202,4755,7820,5711,6390,6843,5725,4944,6792,4921,8262,10767,7717,4212,4175,7640,5238,3501,5624,7070,8060,4695,8625,3075,2809,4429,5170,2851,6238,37515,1894,17736,2020-02-13-08-34,2020-02-13-08-54,20
s.36335c7f-6492-486b-95d0-65930755c6da.txt,12432,"",5873,47766,37985,28645,9082,28487,19747,19655,5327,5957,6582,6954,9326,5706,7187,9020,12236,7758,5900,7287,7052,4041,6661,5566,6932,8628,6251,16641,18586,3234,7044,5290,2280,8142,39148,10190,23880,2020-02-13-16-14,2020-02-13-16-35,21
s.82ddd565-aaf9-47c4-8ac6-91a6301acaed.txt,10171,"",19551,23863,41657,39569,11503,3403,5718,5931,4458,3550,4626,31667,4474,4013,6445,3766,2800,7756,5842,4710,5532,2805,5385,3930,11342,4347,3431,5290,6752,2238,8637,5604,11856,19218,15336,2550,96410,2020-02-12-17-42,2020-02-12-18-12,30
s.d0a4a656-873a-4ab0-853a-18e687b2708d.txt,20999,"",4354,24594,21934,32464,7066,5365,10934,7072,4546,8749,4187,5410,3685,6962,4870,4044,4823,3471,4210,5101,8343,12694,4813,5164,10285,4883,3870,3954,7770,2433,4713,3470,1728,64219,18249,9999,135471,2020-02-24-12-40,2020-02-24-13-00,20
s.3bbf78e5-97b9-4809-8177-1f10056f0d76.txt,34903,"",8232,34333,38393,29023,19684,3908,6091,6004,6984,13735,6152,6076,5813,15486,16575,7978,8906,5866,12456,6858,8533,5591,12496,9840,8337,6105,7539,11484,5819,5336,4514,5623,4823,6604,37736,2600,5796,2020-02-13-16-15,2020-02-13-16-36,21
s.ba2aed74-6dca-4eed-9b10-128e098e1b50.txt,24554,"",6265,45330,23521,33111,7788,7840,8503,5548,15504,6424,6198,4739,4473,4472,4902,5565,3591,6590,4997,5383,7465,5479,6563,3937,7818,4492,3971,9582,9761,3911,6932,8894,6178,5286,34433,12995,63204,2020-02-13-08-35,2020-02-13-08-55,20
s.b7e0849d-1d22-4c22-89c3-24b5edbb0dbd.txt,8059,"",5242,44682,38798,34706,7943,7031,6705,10991,7772,5033,8759,7132,3764,5394,4690,5404,11887,9211,6061,3827,15607,8528,4521,10163,8794,5446,3356,13288,10326,2341,3122,8713,1923,2558,15148,1647,64884,2020-02-24-12-40,2020-02-24-13-00,20
s.c6d9b62c-f521-4423-b146-1d5ab04555c6.txt,6108,"",3587,26362,17653,16951,5983,4272,8812,4954,4319,9889,3797,3855,6347,5612,4426,3103,7357,3751,12755,5503,11328,3608,3815,6119,5068,5656,3082,5254,3332,2547,3606,3488,3428,4405,25611,10335,85772,2020-02-24-12-40,2020-02-24-12-57,17
s.d0d8f844-32d5-484b-b5e0-d717c171e127.txt,11064,"",5553,27108,34571,31417,6188,10180,8928,4832,5320,5256,5203,7065,5833,5377,4685,5903,7524,5627,5343,5119,19732,10653,5750,4532,4884,4223,6528,5048,6212,3075,5144,5269,2256,17690,23799,10533,6935,2020-02-13-16-14,2020-02-13-16-34,20
s.bc43b6e8-6092-4d66-b9ca-ab918f606b44.txt,13140,"",4694,50853,28227,24564,15135,5561,4635,8286,6036,6226,3471,3070,5218,12823,4016,6357,7616,4174,4821,9200,3949,3887,5065,6740,8131,4013,4578,6332,5964,2683,3734,3181,2081,3046,12424,8452,133210,2020-02-18-16-26,2020-02-18-16-45,19
s.caeb637b-caa7-462d-a139-839f50f5d9f3.txt,28865,"",3786,27175,32335,21206,19040,5050,3818,4597,10127,7883,15770,3443,3343,2716,8068,4727,2873,3902,9413,4320,3278,3547,7692,4578,4335,3578,7180,4207,8380,3468,4549,8957,3118,3517,17343,9698,41070,2020-02-24-12-40,2020-02-24-13-00,20
s.929e9395-c62a-4431-82d7-973f0ddad91e.txt,11973,"",3903,31903,18597,24937,6112,8113,5458,4074,3981,5177,3052,3234,3198,3416,2548,3362,7776,8175,5039,3633,11301,3044,3992,3686,11897,5266,4118,4169,3223,2971,2829,3105,3013,5054,18474,2173,3415,2020-02-13-16-14,2020-02-13-16-31,17
